tst unmber,ngy,wg,gr-tt,V-avg,nlz,tstcase
tst-12.1,1,1,0.003333333,0.000289465,5,3
tst-6.1,1,1,0.003333333,0.000296768,3,3
tst-7.1,1,1,0.003333333,0.000296776,3,3
tst-12.7,1,2,0.006666667,0.000305133,5,3
tst-12.2,3,1,0.01,0.00030798,5,3
tst-6.5,1,2,0.006666667,0.000311356,3,3
tst-7.7,1,2,0.006666667,0.000311414,3,3
tst-6.2,3,1,0.01,0.000315076,3,3
tst-7.2,3,1,0.01,0.000315116,3,3
tst-1.1,1,1,0.003333333,0.000317089,1,1
tst-2.1,1,1,0.003333333,0.000325345,2,1
tst-12.3,5,1,0.016666667,0.000325345,5,3
tst-3.1,1,1,0.005,0.000327807,2,2
tst-5.1,1,1,0.004444444,0.000328044,3,2
tst-4.1,1,1,0.003333333,0.000328097,3,1
tst-8.1,1,1,0.003333333,0.000329627,4,1
tst-10.1,1,1,0.003333333,0.000329658,5,1
tst-1.5,1,2,0.006666667,0.000330056,1,1
tst-11.1,1,1,0.004666667,0.000330075,5,2
tst-9.1,1,1,0.005,0.000331113,4,2
tst-12.13,1,3,0.01,0.000332037,5,3
tst-6.3,5,1,0.016666667,0.000332383,3,3
tst-7.3,5,1,0.016666667,0.000332649,3,3
tst-1.2,3,1,0.01,0.000334652,1,1
tst-6.9,1,3,0.01,0.000336567,3,3
tst-7.13,1,3,0.01,0.000336804,3,3
tst-2.5,1,2,0.006666667,0.000337491,2,1
tst-3.5,1,2,0.01,0.000339231,2,2
tst-5.5,1,2,0.008888889,0.000339638,3,2
tst-4.5,1,2,0.006666667,0.000340307,3,1
tst-11.7,1,2,0.009333333,0.000341576,5,2
tst-8.7,1,2,0.006666667,0.000341798,4,1
tst-3.2,3,1,0.011666667,0.000341833,2,2
tst-10.7,1,2,0.006666667,0.000342416,5,1
tst-9.7,1,2,0.01,0.000342573,4,2
tst-5.2,3,1,0.011111111,0.00034362,3,2
tst-2.2,3,1,0.01,0.000343666,2,1
tst-11.2,3,1,0.011333333,0.000344674,5,2
tst-9.2,3,1,0.011666667,0.000345419,4,2
tst-4.2,3,1,0.01,0.000346656,3,1
tst-8.2,3,1,0.01,0.000348135,4,1
tst-10.2,3,1,0.01,0.000348167,5,1
tst-1.9,1,3,0.01,0.000350121,1,1
tst-1.3,5,1,0.016666667,0.00035255,1,1
tst-12.8,3,2,0.02,0.000352854,5,3
tst-3.9,1,3,0.015,0.000353753,2,2
tst-3.3,5,1,0.018333333,0.00035592,2,2
tst-5.9,1,3,0.013333333,0.00035594,3,2
tst-9.13,1,3,0.015,0.000357188,4,2
tst-11.13,1,3,0.014,0.000357268,5,2
tst-7.8,3,2,0.02,0.000358121,3,3
tst-2.9,1,3,0.01,0.000358141,2,1
tst-6.6,3,2,0.02,0.000358256,3,3
tst-5.3,5,1,0.017777778,0.000358868,3,2
tst-12.4,9,1,0.03,0.000359356,5,3
tst-11.3,5,1,0.018,0.000359601,5,2
tst-9.3,5,1,0.018333333,0.000359668,4,2
tst-2.3,5,1,0.016666667,0.000361269,2,1
tst-4.9,1,3,0.01,0.000361366,3,1
tst-8.13,1,3,0.01,0.000362102,4,1
tst-10.13,1,3,0.01,0.000363147,5,1
tst-4.3,5,1,0.016666667,0.00036461,3,1
tst-10.3,5,1,0.016666667,0.000365756,5,1
tst-8.3,5,1,0.016666667,0.000365898,4,1
tst-7.4,9,1,0.03,0.000366336,3,3
tst-6.4,9,1,0.03,0.000366448,3,3
tst-3.6,3,2,0.023333333,0.000367628,2,2
tst-3.13,1,4,0.02,0.000370884,2,2
tst-9.8,3,2,0.023333333,0.000371049,4,2
tst-11.8,3,2,0.022666667,0.000372663,5,2
tst-1.6,3,2,0.02,0.000372745,1,1
tst-5.6,3,2,0.022222222,0.000373038,3,2
tst-12.19,1,4,0.013333333,0.000373877,5,3
tst-9.19,1,4,0.02,0.000374047,4,2
tst-6.13,1,4,0.013333333,0.000374822,3,3
tst-12.5,11,1,0.036666667,0.000375378,5,3
tst-7.19,1,4,0.013333333,0.000376004,3,3
tst-5.13,1,4,0.017777778,0.000376174,3,2
tst-11.19,1,4,0.018666667,0.000376542,5,2
tst-2.6,3,2,0.02,0.00037972,2,1
tst-1.13,1,4,0.013333333,0.000380183,1,1
tst-3.4,9,1,0.031666667,0.000382439,2,2
tst-7.5,11,1,0.036666667,0.000382606,3,3
tst-4.6,3,2,0.02,0.000383538,3,1
tst-8.8,3,2,0.02,0.000385309,4,1
tst-10.8,3,2,0.02,0.000386327,5,1
tst-9.4,9,1,0.031666667,0.000386723,4,2
tst-1.4,9,1,0.03,0.000386801,1,1
tst-5.4,9,1,0.031111111,0.000388515,3,2
tst-11.4,9,1,0.031333333,0.00038868,5,2
tst-2.13,1,4,0.013333333,0.000389924,2,1
tst-12.6,13,1,0.043333333,0.000390961,5,3
tst-4.13,1,4,0.013333333,0.000391951,3,1
tst-8.19,1,4,0.013333333,0.000392646,4,1
tst-9.25,1,5,0.025,0.000392796,4,2
tst-10.19,1,4,0.013333333,0.000393948,5,1
tst-3.7,5,2,0.036666667,0.00039619,2,2
tst-14.1,11,1,0.038333333,0.000397057,2,2
tst-2.4,9,1,0.03,0.000397068,2,1
tst-11.25,1,5,0.023333333,0.000398098,5,2
tst-7.6,13,1,0.043333333,0.000398805,3,3
tst-12.9,5,2,0.033333333,0.000399189,5,3
tst-4.4,9,1,0.03,0.000399578,3,1
tst-9.9,5,2,0.036666667,0.000399936,4,2
tst-3.10,3,3,0.035,0.000400773,2,2
tst-9.5,11,1,0.038333333,0.000401117,4,2
tst-8.4,9,1,0.03,0.000401177,4,1
tst-10.4,9,1,0.03,0.000401399,5,1
tst-6.7,5,2,0.033333333,0.000402468,3,3
tst-11.5,11,1,0.038,0.00040327,5,2
tst-7.9,5,2,0.033333333,0.000403397,3,3
tst-11.9,5,2,0.036,0.00040409,5,2
tst-9.14,3,3,0.035,0.000404242,4,2
tst-16.1,11,1,0.037777778,0.000405304,3,2
tst-5.7,5,2,0.035555556,0.000406345,3,2
tst-14.2,13,1,0.045,0.000408965,2,2
tst-11.14,3,3,0.034,0.000411326,5,2
tst-1.7,5,2,0.033333333,0.000413649,1,1
tst-9.6,13,1,0.045,0.000413819,4,2
tst-5.10,3,3,0.033333333,0.00041523,3,2
tst-13.1,11,1,0.036666667,0.00041584,2,1
tst-11.6,13,1,0.044666667,0.000416673,5,2
tst-15.1,11,1,0.036666667,0.000416885,3,1
tst-8.5,11,1,0.036666667,0.000418707,4,1
tst-10.5,11,1,0.036666667,0.000419272,5,1
tst-16.2,13,1,0.044444444,0.000419319,3,2
tst-2.7,5,2,0.033333333,0.000422561,2,1
tst-4.7,5,2,0.033333333,0.000425549,3,1
tst-10.9,5,2,0.033333333,0.000427005,5,1
tst-8.9,5,2,0.033333333,0.000427106,4,1
tst-12.14,3,3,0.03,0.000429721,5,3
tst-7.25,1,5,0.016666667,0.000430219,3,3
tst-6.10,3,3,0.03,0.000430761,3,3
tst-7.14,3,3,0.03,0.000431635,3,3
tst-1.10,3,3,0.03,0.000432392,1,1
tst-13.2,13,1,0.043333333,0.000432554,2,1
tst-12.25,1,5,0.016666667,0.000433975,5,3
tst-15.2,13,1,0.043333333,0.000434392,3,1
tst-8.25,1,5,0.016666667,0.00043514,4,1
tst-10.25,1,5,0.016666667,0.000435744,5,1
tst-10.6,13,1,0.043333333,0.000436265,5,1
tst-8.6,13,1,0.043333333,0.000436738,4,1
tst-3.14,3,4,0.046666667,0.000438933,2,2
tst-2.10,3,3,0.03,0.00044037,2,1
tst-9.20,3,4,0.046666667,0.000443222,4,2
tst-4.10,3,3,0.03,0.000443827,3,1
tst-8.14,3,3,0.03,0.000444979,4,1
tst-10.14,3,3,0.03,0.000446197,5,1
tst-3.11,5,3,0.055,0.000447302,2,2
tst-3.8,9,2,0.063333333,0.000450801,2,2
tst-9.15,5,3,0.055,0.000452275,4,2
tst-9.10,9,2,0.063333333,0.000455791,4,2
tst-11.20,3,4,0.045333333,0.000459012,5,2
tst-11.10,9,2,0.062666667,0.000464508,5,2
tst-11.15,5,3,0.054,0.000465252,5,2
tst-5.14,3,4,0.044444444,0.000468072,3,2
tst-5.8,9,2,0.062222222,0.000469673,3,2
tst-5.11,5,3,0.053333333,0.000473174,3,2
tst-14.3,11,2,0.076666667,0.000477495,2,2
tst-9.11,11,2,0.076666667,0.000482608,4,2
tst-12.10,9,2,0.06,0.00048342,5,3
tst-9.26,3,5,0.058333333,0.00048572,4,2
tst-7.10,9,2,0.06,0.000486378,3,3
tst-6.8,9,2,0.06,0.000486402,3,3
tst-9.31,1,10,0.05,0.000494564,4,2
tst-11.11,11,2,0.076,0.000494997,5,2
tst-1.8,9,2,0.06,0.000495723,1,1
tst-16.3,11,2,0.075555556,0.000503623,3,2
tst-14.4,13,2,0.09,0.000504374,2,2
tst-2.8,9,2,0.06,0.00050449,2,1
tst-4.8,9,2,0.06,0.000507812,3,1
tst-3.15,5,4,0.073333333,0.000508282,2,2
tst-9.12,13,2,0.09,0.000509195,4,2
tst-10.10,9,2,0.06,0.00051009,5,1
tst-8.10,9,2,0.06,0.000510613,4,1
tst-9.21,5,4,0.073333333,0.000513143,4,2
tst-11.26,3,5,0.056666667,0.000513298,5,2
tst-1.11,5,3,0.05,0.000514997,1,1
tst-6.11,5,3,0.05,0.00052043,3,3
tst-1.14,3,4,0.04,0.000521463,1,1
tst-2.11,5,3,0.05,0.000522412,2,1
tst-7.15,5,3,0.05,0.000522645,3,3
tst-12.11,11,2,0.073333333,0.000523087,5,3
tst-12.15,5,3,0.05,0.000523542,5,3
tst-11.12,13,2,0.089333333,0.000523939,5,2
tst-4.11,5,3,0.05,0.000525243,3,1
tst-8.15,5,3,0.05,0.000526617,4,1
tst-7.11,11,2,0.073333333,0.00052704,3,3
tst-10.15,5,3,0.05,0.000527539,5,1
tst-2.14,3,4,0.04,0.000530961,2,1
tst-4.14,3,4,0.04,0.000533503,3,1
tst-16.4,13,2,0.088888889,0.000533647,3,2
tst-11.31,1,10,0.046666667,0.000533812,5,2
tst-8.20,3,4,0.04,0.000533894,4,1
tst-10.20,3,4,0.04,0.000536408,5,1
tst-3.12,9,3,0.095,0.000537876,2,2
tst-11.21,5,4,0.072,0.000539821,5,2
tst-6.14,3,4,0.04,0.000539943,3,3
tst-7.20,3,4,0.04,0.000543742,3,3
tst-9.16,9,3,0.095,0.000543743,4,2
tst-13.3,11,2,0.073333333,0.000545471,2,1
tst-15.3,11,2,0.073333333,0.00054789,3,1
tst-12.20,3,4,0.04,0.000548757,5,3
tst-8.11,11,2,0.073333333,0.000550072,4,1
tst-10.11,11,2,0.073333333,0.000551531,5,1
tst-5.15,5,4,0.071111111,0.000556006,3,2
tst-12.12,13,2,0.086666667,0.000560817,5,3
tst-7.12,13,2,0.086666667,0.00056395,3,3
tst-11.16,9,3,0.094,0.000568396,5,2
tst-9.27,5,5,0.091666667,0.000579291,4,2
tst-14.5,11,3,0.115,0.000580842,2,2
tst-5.12,9,3,0.093333333,0.000583562,3,2
tst-9.17,11,3,0.115,0.000587331,4,2
tst-15.4,13,2,0.086666667,0.00058848,3,1
tst-13.4,13,2,0.086666667,0.000588743,2,1
tst-10.12,13,2,0.086666667,0.000591187,5,1
tst-8.12,13,2,0.086666667,0.000591271,4,1
tst-9.37,1,15,0.075,0.00059834,4,2
tst-11.17,11,3,0.114,0.000619491,5,2
tst-11.27,5,5,0.09,0.000625316,5,2
tst-14.6,13,3,0.135,0.000626261,2,2
tst-9.18,13,3,0.135,0.000630202,4,2
tst-3.16,9,4,0.126666667,0.00063799,2,2
tst-16.5,11,3,0.113333333,0.000640404,3,2
tst-9.22,9,4,0.126666667,0.000643779,4,2
tst-8.26,3,5,0.05,0.000658815,4,1
tst-10.26,3,5,0.05,0.000661403,5,1
tst-1.15,5,4,0.066666667,0.000661877,1,1
tst-11.18,13,3,0.134,0.000669005,5,2
tst-1.12,9,3,0.09,0.000670066,1,1
tst-2.15,5,4,0.066666667,0.000671954,2,1
tst-4.15,5,4,0.066666667,0.000673056,3,1
tst-8.21,5,4,0.066666667,0.00067372,4,1
tst-10.21,5,4,0.066666667,0.000675898,5,1
tst-2.12,9,3,0.09,0.00068056,2,1
tst-4.12,9,3,0.09,0.000684743,3,1
tst-11.37,1,15,0.07,0.00068571,5,2
tst-8.16,9,3,0.09,0.000685807,4,1
tst-6.12,9,3,0.09,0.000685969,3,3
tst-10.16,9,3,0.09,0.000686305,5,1
tst-7.16,9,3,0.09,0.000686918,3,3
tst-12.16,9,3,0.09,0.000690723,5,3
tst-16.6,13,3,0.133333333,0.000693018,3,2
tst-11.22,9,4,0.125333333,0.000697055,5,2
tst-6.15,5,4,0.066666667,0.000698396,3,3
tst-7.21,5,4,0.066666667,0.000700049,3,3
tst-7.26,3,5,0.05,0.000702055,3,3
tst-14.7,11,4,0.153333333,0.000702722,2,2
tst-9.23,11,4,0.153333333,0.000707437,4,2
tst-12.21,5,4,0.066666667,0.000711454,5,3
tst-9.32,3,10,0.116666667,0.000716024,4,2
tst-12.26,3,5,0.05,0.000719344,5,3
tst-5.16,9,4,0.124444444,0.0007282,3,2
tst-9.28,9,5,0.158333333,0.000753594,4,2
tst-13.5,11,3,0.11,0.000757468,2,1
tst-15.5,11,3,0.11,0.000758104,3,1
tst-8.17,11,3,0.11,0.000761985,4,1
tst-10.17,11,3,0.11,0.000763627,5,1
tst-14.8,13,4,0.18,0.000764036,2,2
tst-7.17,11,3,0.11,0.000765326,3,3
tst-12.17,11,3,0.11,0.000767691,5,3
tst-9.24,13,4,0.18,0.000769404,4,2
tst-11.23,11,4,0.152,0.000772095,5,2
tst-16.7,11,4,0.151111111,0.000811847,3,2
tst-14.9,11,5,0.191666667,0.00083054,2,2
tst-15.6,13,3,0.13,0.000836406,3,1
tst-9.29,11,5,0.191666667,0.000836623,4,2
tst-7.18,13,3,0.13,0.000837625,3,3
tst-13.6,13,3,0.13,0.000838789,2,1
tst-8.18,13,3,0.13,0.000839252,4,1
tst-10.18,13,3,0.13,0.000841454,5,1
tst-12.18,13,3,0.13,0.00084244,5,3
tst-11.28,9,5,0.156666667,0.000843161,5,2
tst-11.24,13,4,0.178666667,0.000844771,5,2
tst-11.32,3,10,0.113333333,0.000853035,5,2
tst-8.27,5,5,0.083333333,0.000878535,4,1
tst-10.27,5,5,0.083333333,0.000880499,5,1
tst-16.8,13,4,0.177777778,0.000893039,3,2
tst-10.31,1,10,0.033333333,0.000897635,5,1
tst-8.31,1,10,0.033333333,0.000899453,4,1
tst-14.10,13,5,0.225,0.000910625,2,2
tst-9.30,13,5,0.225,0.000918179,4,2
tst-1.16,9,4,0.12,0.000926264,1,1
tst-9.33,5,10,0.183333333,0.000930121,4,2
tst-2.16,9,4,0.12,0.000937886,2,1
tst-8.22,9,4,0.12,0.000941558,4,1
tst-4.16,9,4,0.12,0.000942111,3,1
tst-11.29,11,5,0.19,0.000944984,5,2
tst-10.22,9,4,0.12,0.000945471,5,1
tst-9.38,3,15,0.175,0.000945658,4,2
tst-7.27,5,5,0.083333333,0.000947393,3,3
tst-12.27,5,5,0.083333333,0.000976663,5,3
tst-6.16,9,4,0.12,0.000981252,3,3
tst-7.22,9,4,0.12,0.000985745,3,3
tst-12.22,9,4,0.12,0.001001539,5,3
tst-16.9,11,5,0.188888889,0.001015765,3,2
tst-11.30,13,5,0.223333333,0.00104627,5,2
tst-7.31,1,10,0.033333333,0.001052187,3,3
tst-13.7,11,4,0.146666667,0.001066553,2,1
tst-15.7,11,4,0.146666667,0.001069928,3,1
tst-8.23,11,4,0.146666667,0.001074259,4,1
tst-10.23,11,4,0.146666667,0.001075188,5,1
tst-12.31,1,10,0.033333333,0.001102294,5,3
tst-7.23,11,4,0.146666667,0.001116371,3,3
tst-16.10,13,5,0.222222222,0.001130182,3,2
tst-12.23,11,4,0.146666667,0.001130213,5,3
tst-11.33,5,10,0.18,0.00115774,5,2
tst-13.8,13,4,0.173333333,0.001196976,2,1
tst-15.8,13,4,0.173333333,0.001200115,3,1
tst-8.24,13,4,0.173333333,0.001202138,4,1
tst-10.24,13,4,0.173333333,0.001203043,5,1
tst-11.38,3,15,0.17,0.001231363,5,2
tst-7.24,13,4,0.173333333,0.001236958,3,3
tst-12.24,13,4,0.173333333,0.0012537,5,3
tst-9.39,5,15,0.275,0.001272197,4,2
tst-8.28,9,5,0.15,0.00129737,4,1
tst-10.28,9,5,0.15,0.001301282,5,1
tst-9.34,9,10,0.316666667,0.001320337,4,2
tst-7.28,9,5,0.15,0.001393536,3,3
tst-12.28,9,5,0.15,0.001430041,5,3
tst-13.9,11,5,0.183333333,0.001492564,2,1
tst-14.11,11,10,0.383333333,0.00149397,2,2
tst-8.29,11,5,0.183333333,0.001500463,4,1
tst-15.9,11,5,0.183333333,0.001500664,3,1
tst-10.29,11,5,0.183333333,0.001504819,5,1
tst-9.35,11,10,0.383333333,0.001508871,4,2
tst-7.29,11,5,0.183333333,0.001598606,3,3
tst-12.29,11,5,0.183333333,0.001630274,5,3
tst-13.10,13,5,0.216666667,0.001692357,2,1
tst-15.10,13,5,0.216666667,0.001697779,3,1
tst-8.30,13,5,0.216666667,0.00170095,4,1
tst-10.30,13,5,0.216666667,0.001701401,5,1
tst-11.34,9,10,0.313333333,0.001723157,5,2
tst-14.12,13,10,0.45,0.001729798,2,2
tst-11.39,5,15,0.27,0.001740439,5,2
tst-9.36,13,10,0.45,0.001748784,4,2
tst-7.30,13,5,0.216666667,0.001782266,3,3
tst-12.30,13,5,0.216666667,0.001810492,5,3
tst-9.40,9,15,0.475,0.001934056,4,2
tst-8.37,1,15,0.05,0.001944731,4,1
tst-10.37,1,15,0.05,0.001952168,5,1
tst-11.35,11,10,0.38,0.001990117,5,2
tst-10.32,3,10,0.1,0.002007997,5,1
tst-8.32,3,10,0.1,0.002008682,4,1
tst-11.36,13,10,0.446666667,0.002301684,5,2
tst-16.11,11,10,0.377777778,0.002304204,3,2
tst-7.32,3,10,0.1,0.002426805,3,3
tst-7.37,1,15,0.05,0.002490873,3,3
tst-12.32,3,10,0.1,0.002554117,5,3
tst-16.12,13,10,0.444444444,0.002667905,3,2
tst-12.37,1,15,0.05,0.0026682,5,3
tst-11.40,9,15,0.47,0.002731752,5,2
tst-14.13,11,15,0.575,0.002917852,2,2
tst-9.41,11,15,0.575,0.002941031,4,2
tst-10.33,5,10,0.166666667,0.003053271,5,1
tst-8.33,5,10,0.166666667,0.003064753,4,1
tst-7.33,5,10,0.166666667,0.003615334,3,3
tst-12.33,5,10,0.166666667,0.003781183,5,3
tst-11.41,11,15,0.57,0.003882474,5,2
tst-16.13,11,15,0.566666667,0.004492379,3,2
tst-14.14,13,15,0.675,0.004985913,2,2
tst-8.34,9,10,0.3,0.005016898,4,1
tst-9.42,13,15,0.675,0.005021026,4,2
tst-10.34,9,10,0.3,0.005022823,5,1
tst-8.38,3,15,0.15,0.005031639,4,1
tst-10.38,3,15,0.15,0.005042434,5,1
tst-7.34,9,10,0.3,0.005594006,3,3
tst-12.34,9,10,0.3,0.005763824,5,3
tst-10.35,11,10,0.366666667,0.005929948,5,1
tst-13.11,11,10,0.366666667,0.00593324,2,1
tst-15.11,11,10,0.366666667,0.005933377,3,1
tst-8.35,11,10,0.366666667,0.005937497,4,1
tst-11.42,13,15,0.67,0.006102702,5,2
tst-7.38,3,15,0.15,0.006263447,3,3
tst-7.35,11,10,0.366666667,0.006427222,3,3
tst-12.35,11,10,0.366666667,0.006564167,5,3
tst-12.38,3,15,0.15,0.006634633,5,3
tst-13.12,13,10,0.433333333,0.006786941,2,1
tst-8.36,13,10,0.433333333,0.006789446,4,1
tst-15.12,13,10,0.433333333,0.006797645,3,1
tst-10.36,13,10,0.433333333,0.006808361,5,1
tst-16.14,13,15,0.666666667,0.006816721,3,2
tst-7.36,13,10,0.433333333,0.007170506,3,3
tst-12.36,13,10,0.433333333,0.007277469,5,3
tst-10.39,5,15,0.25,0.007890603,5,1
tst-8.39,5,15,0.25,0.007899401,4,1
tst-7.39,5,15,0.25,0.009389555,3,3
tst-12.39,5,15,0.25,0.009806584,5,3
tst-8.40,9,15,0.45,0.013067719,4,1
tst-10.40,9,15,0.45,0.013083747,5,1
tst-7.40,9,15,0.45,0.014237406,3,3
tst-12.40,9,15,0.45,0.014539876,5,3
tst-8.41,11,15,0.55,0.015407054,4,1
tst-13.13,11,15,0.55,0.015408953,2,1
tst-15.13,11,15,0.55,0.015411154,3,1
tst-10.41,11,15,0.55,0.015418436,5,1
tst-7.41,11,15,0.55,0.016155196,3,3
tst-12.41,11,15,0.55,0.01635244,5,3
tst-13.14,13,15,0.65,0.017583423,2,1
tst-8.42,13,15,0.65,0.017604052,4,1
tst-10.42,13,15,0.65,0.017617873,5,1
tst-15.14,13,15,0.65,0.017618397,3,1
tst-7.42,13,15,0.65,0.017852553,3,3
tst-12.42,13,15,0.65,0.017910924,5,3